Step; State; Reward
0; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
1; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
2; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
3; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
4; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
5; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
6; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
7; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
8; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
9; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
10; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
11; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
12; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
13; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
14; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
15; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
16; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
17; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
18; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
19; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
20; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
21; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
22; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
23; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
24; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
25; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
26; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
27; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
28; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
29; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
30; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
31; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
32; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
33; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
34; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
35; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
36; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
37; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
38; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
39; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
40; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
41; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
42; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
43; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
44; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
45; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
46; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
47; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
48; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
49; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
50; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
51; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
52; [[0.006405 0.       0.       0.       0.       0.       0.       0.
  3.496e+00 8.258e-02 3.486e+00 3.486e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
93; [[1.490e-01 3.879e+00 1.431e-04 8.276e-02 1.431e-04 1.431e-04 3.541e+00
  3.496e+00 8.258e-02 3.486e+00 3.486e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
94; [[1.490e-01 3.879e+00 1.431e-04 8.276e-02 1.431e-04 1.431e-04 3.541e+00
  3.496e+00 8.258e-02 3.486e+00 3.486e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
95; [[1.490e-01 3.879e+00 1.431e-04 8.276e-02 1.431e-04 1.431e-04 3.541e+00
  3.496e+00 8.258e-02 3.486e+00 3.486e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
96; [[1.490e-01 3.879e+00 1.431e-04 8.276e-02 1.431e-04 1.431e-04 3.541e+00
  3.496e+00 8.258e-02 3.486e+00 3.486e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
97; [[1.490e-01 3.879e+00 1.431e-04 8.276e-02 1.431e-04 1.431e-04 3.541e+00
  3.496e+00 8.258e-02 3.486e+00 3.486e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
98; [[1.490e-01 3.879e+00 1.431e-04 8.276e-02 1.431e-04 1.431e-04 3.541e+00
  3.496e+00 8.258e-02 3.486e+00 3.486e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
99; [[1.490e-01 3.879e+00 1.431e-04 8.276e-02 1.431e-04 1.431e-04 3.541e+00
  3.496e+00 8.258e-02 3.486e+00 3.486e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
100; [[1.490e-01 3.879e+00 1.431e-04 8.276e-02 1.431e-04 1.431e-04 3.541e+00
  3.496e+00 8.258e-02 3.486e+00 3.486e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
101; [[1.490e-01 3.879e+00 1.431e-04 8.276e-02 1.431e-04 1.431e-04 3.541e+00
  3.496e+00 8.258e-02 3.486e+00 3.486e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
102; [[1.490e-01 3.879e+00 1.431e-04 8.276e-02 1.431e-04 1.431e-04 3.541e+00
  3.496e+00 8.258e-02 3.486e+00 3.486e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
103; [[1.490e-01 3.879e+00 1.431e-04 8.276e-02 1.431e-04 1.431e-04 3.541e+00
  3.496e+00 8.258e-02 3.486e+00 3.486e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
104; [[1.490e-01 3.879e+00 1.431e-04 8.276e-02 1.431e-04 1.431e-04 3.541e+00
  3.496e+00 8.258e-02 3.486e+00 3.486e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
105; [[1.490e-01 3.879e+00 1.431e-04 8.276e-02 1.431e-04 1.431e-04 3.541e+00
  3.496e+00 8.258e-02 3.486e+00 3.486e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
106; [[1.490e-01 3.879e+00 1.431e-04 8.276e-02 1.431e-04 1.431e-04 3.541e+00
  3.496e+00 8.258e-02 3.486e+00 3.486e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
107; [[1.490e-01 3.879e+00 1.431e-04 8.276e-02 1.431e-04 1.431e-04 3.541e+00
  3.496e+00 8.258e-02 3.486e+00 3.486e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
108; [[1.490e-01 3.879e+00 1.431e-04 8.276e-02 1.431e-04 1.431e-04 3.541e+00
  3.496e+00 8.258e-02 3.486e+00 3.486e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
109; [[1.490e-01 3.879e+00 1.431e-04 8.276e-02 1.431e-04 1.431e-04 3.541e+00
  3.496e+00 8.258e-02 3.486e+00 3.486e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
110; [[1.490e-01 3.879e+00 1.431e-04 8.276e-02 1.431e-04 1.431e-04 3.541e+00
  3.496e+00 8.258e-02 3.486e+00 3.486e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
111; [[1.490e-01 3.879e+00 1.431e-04 8.276e-02 1.431e-04 1.431e-04 3.541e+00
  3.496e+00 8.258e-02 3.486e+00 3.486e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
112; [[1.490e-01 3.879e+00 1.431e-04 8.276e-02 1.431e-04 1.431e-04 3.541e+00
  3.496e+00 8.258e-02 3.486e+00 3.486e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
113; [[1.490e-01 3.879e+00 1.431e-04 8.276e-02 1.431e-04 1.431e-04 3.541e+00
  3.496e+00 8.258e-02 3.486e+00 3.486e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
114; [[1.490e-01 3.879e+00 1.431e-04 8.276e-02 1.431e-04 1.431e-04 3.541e+00
  3.496e+00 8.258e-02 3.486e+00 3.486e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
115; [[1.490e-01 3.879e+00 1.431e-04 8.276e-02 1.431e-04 1.431e-04 3.541e+00
  3.496e+00 8.258e-02 3.486e+00 3.486e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
116; [[1.490e-01 3.879e+00 1.431e-04 8.276e-02 1.431e-04 1.431e-04 3.541e+00
  3.496e+00 8.258e-02 3.486e+00 3.486e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
117; [[1.490e-01 3.879e+00 1.431e-04 8.276e-02 1.431e-04 1.431e-04 3.541e+00
  3.496e+00 8.258e-02 3.486e+00 3.486e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
118; [[1.490e-01 3.879e+00 1.431e-04 8.276e-02 1.431e-04 1.431e-04 3.541e+00
  3.496e+00 8.258e-02 3.486e+00 3.486e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
119; [[1.490e-01 3.879e+00 1.431e-04 8.276e-02 1.431e-04 1.431e-04 3.541e+00
  3.496e+00 8.258e-02 3.486e+00 3.486e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
120; [[1.490e-01 3.879e+00 1.431e-04 8.276e-02 1.431e-04 1.431e-04 3.541e+00
  3.496e+00 8.258e-02 3.486e+00 3.486e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
121; [[ 0.2147 10.68    0.      0.214   0.      0.      9.09    8.67    0.2145
   8.664   8.664   0.      0.      0.      0.      0.    ]]; [0.]
122; [[ 0.2147 10.68    0.      0.214   0.      0.      9.09    8.67    0.2145
   8.664   8.664   0.      0.      0.      0.      0.    ]]; [0.]
123; [[ 0.2147 10.68    0.      0.214   0.      0.      9.09    8.67    0.2145
   8.664   8.664   0.      0.      0.      0.      0.    ]]; [0.]
124; [[ 0.2147 10.68    0.      0.214   0.      0.      9.09    8.67    0.2145
   8.664   8.664   0.      0.      0.      0.      0.    ]]; [0.]
125; [[ 0.2147 10.68    0.      0.214   0.      0.      9.09    8.67    0.2145
   8.664   8.664   0.      0.      0.      0.      0.    ]]; [0.]
126; [[ 0.2147 10.68    0.      0.214   0.      0.      9.09    8.67    0.2145
   8.664   8.664   0.      0.      0.      0.      0.    ]]; [0.]
127; [[ 0.2147 10.68    0.      0.214   0.      0.      9.09    8.67    0.2145
   8.664   8.664   0.      0.      0.      0.      0.    ]]; [0.]
128; [[ 0.2147 10.68    0.      0.214   0.      0.      9.09    8.67    0.2145
   8.664   8.664   0.      0.      0.      0.      0.    ]]; [0.]
129; [[ 0.2147 10.68    0.      0.214   0.      0.      9.09    8.67    0.2145
   8.664   8.664   0.      0.      0.      0.      0.    ]]; [0.]
130; [[ 0.2147 10.68    0.      0.214   0.      0.      9.09    8.67    0.2145
   8.664   8.664   0.      0.      0.      0.      0.    ]]; [0.]
131; [[ 0.2147 10.68    0.      0.214   0.      0.      9.09    8.67    0.2145
   8.664   8.664   0.      0.      0.      0.      0.    ]]; [0.]
132; [[ 0.2147 10.68    0.      0.214   0.      0.      9.09    8.67    0.2145
   8.664   8.664   0.      0.      0.      0.      0.    ]]; [0.]
133; [[ 0.2147 10.68    0.      0.214   0.      0.      9.09    8.67    0.2145
   8.664   8.664   0.      0.      0.      0.      0.    ]]; [0.]
134; [[ 0.2147 10.68    0.      0.214   0.      0.      9.09    8.67    0.2145
   8.664   8.664   0.      0.      0.      0.      0.    ]]; [0.]
135; [[ 0.2147 10.68    0.      0.214   0.      0.      9.09    8.67    0.2145
   8.664   8.664   0.      0.      0.      0.      0.    ]]; [0.]
