Step; State; Reward
0; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444 0.0002403  0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.         0.         0.        ]]; [0.]
1; [[ 0.6177 11.74    0.      0.3618  0.3618  0.6167  0.      0.3613 10.04
   7.465  10.49    0.6167 10.484  10.125  10.484   0.      0.      0.
  10.38    0.      0.3613  0.      0.      0.      0.      0.      0.
   0.      0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
2; [[8.6475e-01 1.0516e+01 1.1444e-04 4.8535e-01 4.8535e-01 8.6426e-01
  1.1444e-04 4.8535e-01 8.8750e+00 6.6914e+00 9.3594e+00 8.6426e-01
  8.3828e+00 7.8945e+00 8.3828e+00 1.1444e-04 1.1444e-04 1.1444e-04
  8.5000e+00 1.1444e-04 4.8535e-01 1.1444e-04 1.1444e-04 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04
  1.1444e-04 1.1444e-04 0.0000e+00 0.0000e+00 0.0000e+00]]; [0.]
3; [[1.004  8.89   0.     0.6987 0.6987 1.003  0.     0.6953 8.69   7.484
  9.38   1.003  7.484  6.79   7.484  0.     0.     0.     7.46   0.
  0.6953 0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.    ]]; [0.]
4; [[1.2549e+00 1.0242e+01 1.1444e-04 1.0488e+00 1.0488e+00 1.2598e+00
  1.1444e-04 1.0488e+00 8.2656e+00 9.3125e+00 9.3125e+00 1.2598e+00
  9.3125e+00 8.2578e+00 9.3125e+00 1.1444e-04 1.1444e-04 1.1444e-04
  9.2891e+00 1.1444e-04 1.0488e+00 1.1444e-04 1.1444e-04 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04
  1.1444e-04 1.1444e-04 0.0000e+00 0.0000e+00 0.0000e+00]]; [0.]
5; [[2.008 9.06  0.    1.619 1.619 2.008 0.    1.615 7.527 9.15  9.09  2.002
  7.7   6.082 7.7   0.    0.    0.    7.65  0.    1.615 0.    0.    0.
  0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.   ]]; [0.]
6; [[1.8467e+00 9.2344e+00 1.1444e-04 1.6338e+00 1.6338e+00 1.8496e+00
  1.1444e-04 1.6338e+00 7.6406e+00 9.2656e+00 9.3203e+00 1.8496e+00
